CÓDIGO MRV;Código Krona;Código Tigre;Código Amanco;Descrição Curta;Descrição Longa;UMP;Embalagem Padrão;PR;SC;RS;MT;MS;GO;DF
1106144;100;11111700;10469;"TUBO PVC RIG PRED;ESG;40MM;6000MM";"TUBO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:JUNTA ELASTICA;DIAMETRO/ROSCA:40MM;COMPRIMENTO:6000MM;DADOS EXTRAS:NORMA:NBR 7362/5688;SERIE:NORMAL;COR:BRANCA";UN;;21,491;21,491;21,491;21,491;21,491;22,318;22,318
1106173;;22002503;14325;"ADAPTADOR PVC RIG PRED;CX AGUA;60MMX2BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:CAIXA AGUA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:60MMX2BSP;DADOS EXTRAS:C/ANEL;NORMA:NBR 5648";UN;;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
1106344;373;22077015;11546;"BUCHA RED PVC RIG PRED;AG FR;60X25MM;LG";"BUCHA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:60X25MM;CONSTRUCAO:LONGA;DADOS EXTRAS:COR: MARROM;NORMA:NBR 5648";UN;;6,217;6,217;6,217;6,217;6,217;5,965;5,965
1106448;1588;22326562;14216;BUCHA REDUCAO PPR 32X25MM;BUCHA DE REDUCAO PPR 32X25MM NBR 15813;UN;;5,647;5,647;5,647;5,647;5,647;5,647;5,647
1106494;330;22000209;11507;"ADAPTADOR PVC RIG PRED;AG FR;20MMX1/2BSP";"ADAPTADOR PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:CURTO SOLDAVEL/ROSCA;DIAMETRO/ROSCA:20MMX1/2BSP;DADOS EXTRAS:NORMA:NBR 5648;C/BOLSA;P/REGISTRO;NORMA:NBR 5648";UN;;0,418;0,418;0,418;0,418;0,418;0,418;0,418
1106586;492;35447954;11956;"LUVA PVC RIG PRED;AG FR;50MMX1 1/2BSP";"LUVA PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:50MMX1 1/2BSP;DADOS EXTRAS:COR:MARROM;NBR 5648";UN;;10,491;10,491;10,491;10,491;10,491;10,491;10,491
1106587;374;22077023;11547;"BUCHA RED PVC RIG PRED;AG FR;60X32MM;LG";"BUCHA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:AGUA FRIA;TIPO CONEXAO:SOLDAVEL;DIAMETRO/ROSCA:60X32MM;CONSTRUCAO:LONGA;DADOS EXTRAS:NORMA:NBR 5648";UN;;7,288;7,288;7,288;7,288;7,288;7,288;7,288
1106590;1453;26752221;11433;"LUVA RED PVC RIG PRED;ESG;150X100MM;REF";"LUVA REDUCAO PVC RIGIDO PREDIAL;APLICACAO:ESGOTO;CONEXAO:PONTA BOLSA/JUNTA ELASTICA;DIAMETRO/ROSCA:150X100MM;SERIE:REFORCADA;FLANGE:S/ FLANGE;DADOS EXTRAS:EXCENTRICA;NBR 7362/5688";UN;;17,475;17,475;17,475;17,475;17,475;17,475;17,475
1106956;1350;22851187;20264;"JOELHO CPVC RIG PRED;90GR;15MMX1/2BSP";"JOELHO CPVC RIGIDO PREDIAL;ANGULO:90GR;APLICACAO:AGUA FRIA/AGUA QUENTE;CONEXAO:SOLDAVEL/ROSCAVEL;DIAMETRO/ROSCA:15MMX1/2BSP;DADOS EXTRAS:TRANSICAO;NORMA:NBR 15884";UN;;7,461;7,461;7,461;7,461;7,461;6,802;6,802
1107926;936;27505007;11625;"GRELHA ESC P/RALO;PVC;BR;QUADR;100X100MM";"GRELHA ESCOAMENTO P/RALO;MATERIAL:PVC;COR:BRANCA;FORMATO:QUADRADA;TAMANHO NOMINAL:100X100MM;DADOS EXTRAS:P/ESGOTO;NORMA:NBR5688;FABRICANTE/REFERENCIA:AMANCO/11625";UN;;2,757;2,757;2,757;2,757;2,757;2,757;2,757
